,Name,Year
0,Rock Band,2007.0
1,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),
2,Jewel Link Chronicles: Mountains of Madness,
3,Majesty 2: The Fantasy Kingdom Sim,2009.0
4,Famista 64,1997.0
5,Transworld Surf,2003.0
6,Battle vs. Chess,2011.0
7,Major League Baseball 2K6,2006.0
8,Twisted Metal: Small Brawl,
9,Tiger Woods PGA Tour 07,2007.0
10,Tribes: Aerial Assault,2002.0
11,Metal Gear Solid 2: Substance,2001.0
12,Star Trek: Legacy,2006.0
13,My Healthy Cooking Coach,2011.0
14,Mega Man X Collection,
15,Move Fitness,
16,Flip's Twisted World,2010.0
17,Super Puzzle Fighter II,1996.0
18,Luminous Arc 2 (JP sales),
19,Tomb Raider (2013),2013.0
20,Street Fighter IV,2009.0
21,Agarest Senki: Re-appearance,2014.0
22,Monster Hunter Frontier Online,2010.0
23,Harvest Moon: Save the Homeland,2001.0
24,NHL Hitz Pro,2003.0
25,Final Fantasy XI,2002.0
26,The Golden Compass,
27,Shorts,
28,World of Tanks,2010.0
29,Call of Duty 3,2006.0
30,Madden NFL 06,2005.0
31,Dinotopia: The Sunstone Odyssey,2004.0
32,Virtua Quest,2005.0
33,Captain America: Super Soldier,2011.0
34,Writing and Speaking Beautiful Japanese DS,
35,Disney's Chicken Little: Ace In Action,
36,Madden NFL 2002,2002.0
37,Maze Craze: A Game of Cops 'n Robbers,
38,Sabre Wulf,1984.0
39,The Golden Compass,
40,Alone in the Dark: The New Nightmare,2001.0
41,Disney's Cinderella: Magical Dreams,
42,Chou Soujuu Mecha MG,
43,Donkey Kong Land III,
44,Rayman Arena,2002.0
45,eJay Clubworld,
46,Danganronpa: Trigger Happy Havoc,2010.0
47,Action Man-Operation Extreme,
48,Jet Impulse,2007.0
49,Football Manager 2007,2006.0
50,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",
51,LEGO Batman: The Videogame,2008.0
52,Major League Baseball 2K8,
53,B.L.U.E.: Legend of Water,
54,wwe Smackdown vs. Raw 2006,
55,TERA,
56,Homeworld Remastered Collection,
57,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,
58,Pac-Man Fever,
59,Street Hoops,2002.0
60,WRC: FIA World Rally Championship,2014.0
61,Legacy of Kain: Soul Reaver,1999.0
62,WRC: FIA World Rally Championship,2014.0
63,Namco Museum,2001.0
64,Rock Band,2007.0
65,Test Drive Unlimited 2,2011.0
66,Sega Rally 2006,2006.0
67,Rock Revolution,
68,Shaun White Snowboarding,2009.0
69,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,
70,The Lord of the Rings: War in the North,
71,Pet Zombies,
72,WCW Backstage Assault,2000.0
73,Swords,
74,Ghostbusters II,
75,Bejeweled 3,2010.0
76,Hangman,
77,Charm Girls Club: My Fashion Show,
78,Beyond the Labyrinth,
79,Dream Trigger 3D,
80,Demon Chaos,2014.0
81,BioShock 2,2010.0
82,Yakuza 4,2021.0
83,Harvest Moon: The Tale of Two Towns,2012.0
84,Dance! It's Your Stage,
85,Circus Atari,
86,LEGO Harry Potter: Years 5-7,2011.0
87,Hitman 2: Silent Assassin,2003.0
88,Adventure,
89,Nintendo Puzzle Collection,2003.0
90,Samurai Shodown Anthology,2009.0
91,Rocksmith,2012.0
92,Samurai Spirits: Tenkaichi Kenkakuden,
93,Wheel of Fortune,
94,Mobile Ops: The One Year War,2008.0
95,Record of Agarest War Zero,2014.0
96,Atsumare! Power Pro Kun no DS Koushien,
97,Rock Revolution,
98,Combat Elite: WWII Paratroopers,2005.0
99,Home Run,
100,Legacy of Ys: Books I & II,2015.0
101,GRID,
102,Backbreaker,
103,Dead Island: Riptide,2013.0
104,Brothers in Arms: Furious 4,
105,Happy Feet Two,
106,Fishing Derby,1980.0
107,Unreal Championship 2: The Liandri Conflict,2005.0
108,Shrek the Third,
109,Madden NFL 2004,2003.0
110,College Hoops 2K6,2006.0
111,WRC: FIA World Rally Championship,2014.0
112,Aquaman: Battle for Atlantis,2003.0
113,The Smurfs,
114,MLB SlugFest 20-03,
115,Drill Dozer,2006.0
116,Our House Party!,
117,Saint,
118,Mountain Bike Adrenaline,
119,Egg Monster Hero,1988.0
120,Wii de Asobu: Metroid Prime,
121,Happy Feet Two,
122,Payout Poker & Casino,
123,Splatterhouse,1988.0
124,Jet X20,2002.0
125,Reader Rabbit 2nd Grade,1983.0
126,Jurassic Park: The Game,2011.0
127,Half-Minute Hero 2,2014.0
128,LEGO Indiana Jones: The Original Adventures,2008.0
129,Build-A-Bear Workshop: Friendship Valley,
130,Wet,
131,Port Royale 3,
132,Sonic the Hedgehog,
133,Combat Elite: WWII Paratroopers,2005.0
134,Vegas Party,
135,Disgaea 3: Absence of Detention,2012.0
136,Big Beach Sports 2,
137,Wii de Asobu: Metroid Prime,
138,LEGO Harry Potter: Years 5-7,2011.0
139,Battle vs. Chess,2011.0
140,Jonah Lomu Rugby Challenge,
141,Cubix Robots for Everyone: Clash 'n' Bash,
142,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),
143,Def Jam: Fight for NY,2004.0
144,LEGO Harry Potter: Years 5-7,2011.0
145,Mario Tennis,2001.0
146,Super Breakout,5200.0
147,LEGO Batman: The Videogame,2008.0
148,Robotech: Battlecry,2003.0
149,Advance Wars: Days of Ruin,
150,Sword of the Samurai,
151,Mega Man Battle Network: Operation Shooting Star,
152,Tropico 4,2013.0
153,Star Wars Jedi Knight II: Jedi Outcast,2002.0
154,The Legend of Zelda: The Minish Cap(weekly JP sales),
155,Bejeweled 3,2010.0
156,Madden NFL 07,2006.0
157,LEGO Harry Potter: Years 5-7,2011.0
158,DanceDanceRevolution II,
159,Tony Hawk's Downhill Jam,2007.0
160,LEGO Harry Potter: Years 5-7,2011.0
161,The Dukes of Hazzard II: Daisy Dukes It Out,2002.0
162,Backbreaker,
163,LEGO Harry Potter: Years 5-7,2011.0
164,PDC World Championship Darts 2008,2008.0
165,National Geographic Challenge!,
166,Dead Space 3,2013.0
